ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAEDAAECAQAAAAAAAECPQA==
ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	jp.rafaelzig.rafka.pubsub.Subscriber	subscriber	1609142004200	 	3.2.1
USER	getAndAck	36	END	1609142020894	1609142020908
USER	getAndAck	37	START	1609142020964	1609142020964
REQUEST	37		/message/ack	1609142020964	1609142020973	OK	 
USER	getAndAck	37	END	1609142020964	1609142020974
USER	getAndAck	38	START	1609142021024	1609142021024
REQUEST	38		/message/get	1609142021025	1609142021032	OK	 
USER	getAndAck	38	END	1609142021024	1609142021033
USER	getAndAck	39	START	1609142021084	1609142021084
REQUEST	39		/message/ack	1609142021085	1609142021092	OK	 
USER	getAndAck	39	END	1609142021084	1609142021092
USER	getAndAck	40	START	1609142021144	1609142021144
REQUEST	40		/message/get	1609142021144	1609142021156	OK	 
USER	getAndAck	40	END	1609142021144	1609142021158
USER	getAndAck	41	START	1609142021214	1609142021214
REQUEST	41		/message/ack	1609142021215	1609142021222	OK	 
USER	getAndAck	41	END	1609142021214	1609142021224
USER	getAndAck	42	START	1609142021273	1609142021273
REQUEST	42		/message/get	1609142021274	1609142021286	OK	 
USER	getAndAck	42	END	1609142021273	1609142021286
USER	getAndAck	43	START	1609142021333	1609142021333
REQUEST	43		/message/ack	1609142021334	1609142021341	OK	 
USER	getAndAck	43	END	1609142021333	1609142021341
USER	getAndAck	44	START	1609142021394	1609142021394
REQUEST	44		/message/get	1609142021395	1609142021420	OK	 
USER	getAndAck	44	END	1609142021394	1609142021420
USER	getAndAck	45	START	1609142021463	1609142021463
REQUEST	45		/message/ack	1609142021464	1609142021469	OK	 
USER	getAndAck	45	END	1609142021463	1609142021470
USER	getAndAck	46	START	1609142021524	1609142021524
REQUEST	46		/message/get	1609142021525	1609142021533	OK	 
USER	getAndAck	46	END	1609142021524	1609142021533
USER	getAndAck	47	START	1609142021584	1609142021584
REQUEST	47		/message/ack	1609142021585	1609142021593	OK	 
USER	getAndAck	47	END	1609142021584	1609142021594
USER	getAndAck	48	START	1609142021643	1609142021643
REQUEST	48		/message/get	1609142021644	1609142021656	OK	 
USER	getAndAck	48	END	1609142021643	1609142021656
USER	getAndAck	49	START	1609142021703	1609142021703
REQUEST	49		/message/ack	1609142021706	1609142021719	OK	 
USER	getAndAck	49	END	1609142021703	1609142021720
USER	getAndAck	50	START	1609142021753	1609142021753
REQUEST	50		/message/get	1609142021754	1609142021771	OK	 
USER	getAndAck	50	END	1609142021753	1609142021772
USER	getAndAck	51	START	1609142021803	1609142021803
REQUEST	51		/message/ack	1609142021804	1609142021811	OK	 
USER	getAndAck	51	END	1609142021803	1609142021812
USER	getAndAck	52	START	1609142021854	1609142021854
REQUEST	52		/message/get	1609142021854	1609142021859	OK	 
USER	getAndAck	52	END	1609142021854	1609142021859
USER	getAndAck	53	START	1609142021913	1609142021913
REQUEST	53		/message/ack	1609142021914	1609142021919	OK	 
USER	getAndAck	53	END	1609142021913	1609142021920
USER	getAndAck	54	START	1609142021963	1609142021963
REQUEST	54		/message/get	1609142021964	1609142021969	OK	 
USER	getAndAck	54	END	1609142021963	1609142021969
USER	getAndAck	55	START	1609142022014	1609142022014
REQUEST	55		/message/ack	1609142022014	1609142022020	OK	 
USER	getAndAck	55	END	1609142022014	1609142022021
USER	getAndAck	56	START	1609142022064	1609142022064
REQUEST	56		/message/get	1609142022064	1609142022074	OK	 
USER	getAndAck	56	END	1609142022064	1609142022075
USER	getAndAck	57	START	1609142022123	1609142022123
REQUEST	57		/message/ack	1609142022124	1609142022143	OK	 
USER	getAndAck	57	END	1609142022123	1609142022143
USER	getAndAck	58	START	1609142022173	1609142022173
REQUEST	58		/message/get	1609142022174	1609142022185	OK	 
USER	getAndAck	58	END	1609142022173	1609142022185
USER	getAndAck	59	START	1609142022223	1609142022223
REQUEST	59		/message/ack	1609142022224	1609142022235	OK	 
USER	getAndAck	59	END	1609142022223	1609142022235
USER	getAndAck	60	START	1609142022273	1609142022273
REQUEST	60		/message/get	1609142022274	1609142022283	OK	 
USER	getAndAck	60	END	1609142022273	1609142022284
USER	getAndAck	61	START	1609142022333	1609142022333
REQUEST	61		/message/ack	1609142022334	1609142022344	OK	 
